Industry  IndustryDescription									    Commodity CommodityDescription									ProVal    IOYear
1111A0    Oilseed farming                                                                           1111A0    Oilseed farming                                                                           14129.50  2002      
1111A0    Oilseed farming                                                                           115000    Support activities for agriculture and forestry                                           316.00    2002      
1111A0    Oilseed farming                                                                           713B00    Other amusement and recreation industries                                                 156.30    2002      
1111B0    Grain farming                                                                             1111B0    Grain farming                                                                             27854.90  2002      
1111B0    Grain farming                                                                             115000    Support activities for agriculture and forestry                                           635.20    2002      
1111B0    Grain farming                                                                             713B00    Other amusement and recreation industries                                                 304.30    2002      
111200    Vegetable and melon farming                                                               111200    Vegetable and melon farming                                                               17680.30  2002      
111200    Vegetable and melon farming                                                               115000    Support activities for agriculture and forestry                                           73.50     2002      
111200    Vegetable and melon farming                                                               713B00    Other amusement and recreation industries                                                 34.30     2002      
111335    Tree nut farming                                                                          111335    Tree nut farming                                                                          2171.80   2002      
111335    Tree nut farming                                                                          115000    Support activities for agriculture and forestry                                           27.00     2002      
111335    Tree nut farming                                                                          713B00    Other amusement and recreation industries                                                 14.90     2002      
1113A0    Fruit farming                                                                             1113A0    Fruit farming                                                                             10747.60  2002      
1113A0    Fruit farming                                                                             115000    Support activities for agriculture and forestry                                           125.00    2002      
1113A0    Fruit farming                                                                             713B00    Other amusement and recreation industries                                                 69.00     2002      
111400    Greenhouse, nursery, and floriculture production                                          111400    Greenhouse, nursery, and floriculture production                                          15595.60  2002      
111400    Greenhouse, nursery, and floriculture production                                          115000    Support activities for agriculture and forestry                                           42.50     2002      
111400    Greenhouse, nursery, and floriculture production                                          713B00    Other amusement and recreation industries                                                 15.80     2002      
111910    Tobacco farming                                                                           111910    Tobacco farming                                                                           1174.50   2002      
111910    Tobacco farming                                                                           115000    Support activities for agriculture and forestry                                           41.80     2002      
111910    Tobacco farming                                                                           713B00    Other amusement and recreation industries                                                 9.40      2002      
111920    Cotton farming                                                                            111920    Cotton farming                                                                            3173.00   2002      
111920    Cotton farming                                                                            115000    Support activities for agriculture and forestry                                           87.60     2002      
111920    Cotton farming                                                                            713B00    Other amusement and recreation industries                                                 115.20    2002      
1119A0    Sugarcane and sugar beet farming                                                          1119A0    Sugarcane and sugar beet farming                                                          2071.20   2002      
1119A0    Sugarcane and sugar beet farming                                                          115000    Support activities for agriculture and forestry                                           50.30     2002      
1119A0    Sugarcane and sugar beet farming                                                          713B00    Other amusement and recreation industries                                                 17.80     2002      
1119B0    All other crop farming                                                                    1119B0    All other crop farming                                                                    20084.80  2002      
1119B0    All other crop farming                                                                    113300    Logging                                                                                   146.80    2002      
1119B0    All other crop farming                                                                    113A00    Forest nurseries, forest products, and timber tracts                                      2441.50   2002      
1119B0    All other crop farming                                                                    114200    Hunting and trapping                                                                      1.40      2002      
1119B0    All other crop farming                                                                    115000    Support activities for agriculture and forestry                                           54.30     2002      
1119B0    All other crop farming                                                                    321999    All other miscellaneous wood product manufacturing                                        42.40     2002      
1119B0    All other crop farming                                                                    713B00    Other amusement and recreation industries                                                 16.40     2002      
112120    Dairy cattle and milk production                                                          112120    Dairy cattle and milk production                                                          20720.50  2002      
112120    Dairy cattle and milk production                                                          115000    Support activities for agriculture and forestry                                           106.80    2002      
112120    Dairy cattle and milk production                                                          713B00    Other amusement and recreation industries                                                 229.60    2002      
1121A0    Cattle ranching and farming                                                               1121A0    Cattle ranching and farming                                                               41738.40  2002      
1121A0    Cattle ranching and farming                                                               115000    Support activities for agriculture and forestry                                           371.00    2002      
1121A0    Cattle ranching and farming                                                               713B00    Other amusement and recreation industries                                                 149.60    2002      
112300    Poultry and egg production                                                                112300    Poultry and egg production                                                                21051.30  2002      
112300    Poultry and egg production                                                                115000    Support activities for agriculture and forestry                                           75.00     2002      
112300    Poultry and egg production                                                                713B00    Other amusement and recreation industries                                                 25.20     2002      
112A00    Animal production, except cattle and poultry and eggs                                     112A00    Animal production, except cattle and poultry and eggs                                     16077.60  2002      
112A00    Animal production, except cattle and poultry and eggs                                     113A00    Forest nurseries, forest products, and timber tracts                                      85.90     2002      
112A00    Animal production, except cattle and poultry and eggs                                     115000    Support activities for agriculture and forestry                                           161.60    2002      
112A00    Animal production, except cattle and poultry and eggs                                     713B00    Other amusement and recreation industries                                                 85.60     2002      
113300    Logging                                                                                   113300    Logging                                                                                   25011.60  2002      
113A00    Forest nurseries, forest products, and timber tracts                                      111400    Greenhouse, nursery, and floriculture production                                          18.90     2002      
113A00    Forest nurseries, forest products, and timber tracts                                      113A00    Forest nurseries, forest products, and timber tracts                                      7029.00   2002      
114100    Fishing                                                                                   114100    Fishing                                                                                   3177.20   2002      
114200    Hunting and trapping                                                                      114200    Hunting and trapping                                                                      2247.10   2002      
115000    Support activities for agriculture and forestry                                           115000    Support activities for agriculture and forestry                                           12663.70  2002      
211000    Oil and gas extraction                                                                    211000    Oil and gas extraction                                                                    89149.60  2002      
211000    Oil and gas extraction                                                                    212390    Other nonmetallic mineral mining and quarrying                                            133.40    2002      
211000    Oil and gas extraction                                                                    213111    Drilling oil and gas wells                                                                737.80    2002      
211000    Oil and gas extraction                                                                    213112    Support activities for oil and gas operations                                             563.70    2002      
211000    Oil and gas extraction                                                                    230101    Nonresidential commercial and health care structures                                      13.10     2002      
211000    Oil and gas extraction                                                                    324110    Petroleum refineries                                                                      12713.10  2002      
211000    Oil and gas extraction                                                                    325120    Industrial gas manufacturing                                                              485.70    2002      
211000    Oil and gas extraction                                                                    325190    Other basic organic chemical manufacturing                                                29.30     2002      
211000    Oil and gas extraction                                                                    325310    Fertilizer manufacturing                                                                  264.40    2002      
211000    Oil and gas extraction                                                                    420000    Wholesale trade                                                                           6.40      2002      
211000    Oil and gas extraction                                                                    541511    Custom computer programming services                                                      128.30    2002      
212100    Coal mining                                                                               211000    Oil and gas extraction                                                                    5.40      2002      
212100    Coal mining                                                                               212100    Coal mining                                                                               20371.80  2002      
212100    Coal mining                                                                               21311A    Support activities for other mining                                                       12.30     2002      
212100    Coal mining                                                                               230101    Nonresidential commercial and health care structures                                      4.10      2002      
212100    Coal mining                                                                               230102    Nonresidential manufacturing structures                                                   13.60     2002      
212100    Coal mining                                                                               420000    Wholesale trade                                                                           60.40     2002      
212210    Iron ore mining                                                                           212210    Iron ore mining                                                                           1773.00   2002      
212210    Iron ore mining                                                                           230101    Nonresidential commercial and health care structures                                      1.40      2002      
212210    Iron ore mining                                                                           230102    Nonresidential manufacturing structures                                                   4.40      2002      
212230    Copper, nickel, lead, and zinc mining                                                     212230    Copper, nickel, lead, and zinc mining                                                     2318.40   2002      
212230    Copper, nickel, lead, and zinc mining                                                     2122A0    Gold, silver, and other metal ore mining                                                  211.00    2002      
212230    Copper, nickel, lead, and zinc mining                                                     21311A    Support activities for other mining                                                       27.30     2002      
212230    Copper, nickel, lead, and zinc mining                                                     230101    Nonresidential commercial and health care structures                                      4.70      2002      
212230    Copper, nickel, lead, and zinc mining                                                     230102    Nonresidential manufacturing structures                                                   15.30     2002      
2122A0    Gold, silver, and other metal ore mining                                                  212230    Copper, nickel, lead, and zinc mining                                                     59.30     2002      
2122A0    Gold, silver, and other metal ore mining                                                  2122A0    Gold, silver, and other metal ore mining                                                  3587.20   2002      
